word_esp,word_rus,other_rus,category,level
leche,молоко,"вода,сок,чай",Овощи и фрукты,продвинутый
falda,юбка,"брюки,платье,шорты",Глаголы действия,средний
vestido,платье,"юбка,блузка,рубашка",Эмоции,начальный
caballo,лошадь,"осёл,верблюд,корова",Дом и быт,средний
volar,летать,"ходить,прыгать,катиться",Овощи и фрукты,продвинутый
profesor,учитель,"врач,инженер,продавец",Дом и быт,средний
mar,море,"океан,озеро,река",Эмоции,средний
leche,молоко,"вода,сок,чай",Овощи и фрукты,начальный
playa,пляж,"берег,галька,песок",Природа,начальный
hierba,трава,"листва,цветок,дерево",Транспорт,средний
mesa,стол,"стул,шкаф,диван",Транспорт,продвинутый
pan,хлеб,"масло,сыр,булка",Дом и быт,средний
doctor,врач,"учитель,пекарь,инженер",Животные,начальный
emoción,эмоция,"чувство,ощущение,переживание",Дом и быт,начальный
emoción,эмоция,"чувство,ощущение,переживание",Дом и быт,продвинутый
doctor,врач,"учитель,пекарь,инженер",Части тела,продвинутый
sol,солнце,"луна,звезда,облако",Глаголы действия,продвинутый
montaña,гора,"река,озеро,лес",Дом и быт,продвинутый
caminar,идти,"стоять,бежать,сидеть",Части тела,продвинутый
leche,молоко,"вода,сок,чай",Одежда,продвинутый
profesor,учитель,"врач,инженер,продавец",Овощи и фрукты,продвинутый
alegría,радость,"печаль,злость,спокойствие",Профессии,продвинутый
leche,молоко,"вода,сок,чай",Эмоции,продвинутый
alegría,радость,"печаль,злость,спокойствие",Транспорт,средний
árbol,дерево,"куст,цветок,трава",Глаголы действия,продвинутый
perro,собака,"кошка,мышь,тигр",Дом и быт,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Части тела,начальный
gato,кошка,"собака,птица,лошадь",Профессии,начальный
pan,хлеб,"масло,сыр,булка",Части тела,средний
emoción,эмоция,"чувство,ощущение,переживание",Животные,начальный
gato,кошка,"собака,птица,лошадь",Эмоции,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Эмоции,продвинутый
profesor,учитель,"врач,инженер,продавец",Глаголы действия,продвинутый
vestido,платье,"юбка,блузка,рубашка",Профессии,средний
montaña,гора,"река,озеро,лес",Животные,продвинутый
mar,море,"океан,озеро,река",Глаголы действия,начальный
falda,юбка,"брюки,платье,шорты",Одежда,средний
